Player,Category,Country,Role,Runs Scored,Batting Strike Rate,Batting Average,No of Sixes,No of Fours,Balls Faced,Total career dot balls played,No of Centuries Scored,No of Half Centuries Scored,Wickets Taken,3 Wicket Hauls,5 Wicket Hauls,Bowling Strike Rate,Bowling Economy,Bowling Average,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,Maidens Bowled,Age of the Player,Capped/Uncapped,Last Auction Price Sold (in Crs),5 Wicket hauls,No of Catches,No of Stumpings,No of Run Outs
Player_172,International,Afghanistan,Pace Bowler,,,,,,,,,,143,16,,6.05,7.94,20.95,2986,89,287,928,5,29,Capped,1.14,3,,,
Player_173,International,Ireland,Spin Bowler,,,,,,,,,,12,1,,4.7,8.33,28.1,371,10,21,65,0,32,Capped,0.26,0,,,
Player_174,Domestic,India,Medium Pace Bowler,,,,,,,,,,176,12,,15.43,8.49,26.23,4341,169,366,1122,5,35,Uncapped,3.67,2,,,
Player_175,Domestic,India,Spin Bowler,,,,,,,,,,127,10,,19.28,8.31,26.92,3060,147,225,786,2,32,Uncapped,12.2,0,,,
Player_176,International,England,Medium Pace Bowler,,,,,,,,,,106,12,,7.12,8.4,23.14,2511,95,231,671,3,29,Capped,0.93,0,,,
Player_177,International,England,Pace Bowler,,,,,,,,,,90,9,,5.86,8.5,24.64,2228,81,222,626,2,32,Capped,3.25,0,,,
Player_178,International,Australia,Pace Bowler,,,,,,,,,,51,6,,6.77,8.75,26.37,1359,49,132,367,1,29,Capped,8.54,0,,,
Player_179,International,Sri Lanka,Pace Bowler,,,,,,,,,,37,4,,5.93,8.35,24.13,921,38,83,243,1,28,Capped,0.92,0,,,
Player_180,International,Bangladesh,Spin Bowler,,,,,,,,,,93,9,,5.47,7.45,23.52,2163,87,163,687,4,29,Capped,0.64,0,,,
Player_181,International,Australia,Pace Bowler,,,,,,,,,,37,4,,5.96,8.67,25.19,959,39,89,253,1,27,Capped,1.11,0,,,
Player_182,International,England,Spin Bowler,,,,,,,,,,101,10,,4.02,7.2,26.68,2627,81,106,566,2,39,Capped,-0.02,0,,,
Player_183,International,India,Spin Bowler,,,,,,,,,,104,6,,22.05,7.64,26.44,2669,124,185,791,3,32,Capped,10.96,1,,,
Player_184,Domestic,India,Spin Bowler,,,,,,,,,,16,2,,12.29,8.82,18.35,291,21,17,91,0,26,Uncapped,1.9,0,,,
Player_185,International,Bangladesh,Spin Bowler,,,,,,,,,,105,11,,5.42,7.86,23.73,2452,97,201,750,3,30,Capped,0.55,0,,,
Player_186,International,India,Spin Bowler,,,,,,,,,,104,8,,13.77,8.52,26.46,2640,123,193,677,1,31,Capped,17.17,0,,,
Player_187,Domestic,India,Medium Pace Bowler,,,,,,,,,,113,6,,18.9,8.36,27.7,3064,114,276,857,6,33,Uncapped,3.71,1,,,
Player_188,International,Australia,Pace Bowler,,,,,,,,,,163,20,,7.09,8.47,22.46,3525,133,318,963,3,31,Capped,0.87,2,,,
Player_189,International,Sri Lanka,Spin Bowler,,,,,,,,,,42,5,,5.98,6.83,20.02,858,41,55,289,1,26,Capped,0.58,0,,,
Player_190,Domestic,India,Pace Bowler,,,,,,,,,,56,4,,14.92,9.31,25.28,1441,64,124,365,1,30,Uncapped,2.51,0,,,
Player_191,Domestic,India,Spin Bowler,,,,,,,,,,78,5,,17.49,8.11,27.18,2120,94,178,579,2,27,Uncapped,4.43,0,,,
Player_192,International,England,Pace Bowler,,,,,,,,,,45,4,,6.09,8.65,25.49,1146,47,89,283,1,26,Capped,1.62,0,,,
Player_193,International,Australia,Pace Bowler,,,,,,,,,,71,8,,5.3,8.67,26.11,1980,74,206,546,2,32,Capped,11.24,0,,,
Player_194,International,Sri Lanka,Pace Bowler,,,,,,,,,,41,4,,5.65,8.71,26.84,972,39,93,282,1,31,Capped,4.61,0,,,
Player_195,Domestic,India,Spin Bowler,,,,,,,,,,5,2,,11.32,8.76,18.85,-10,5,-7,37,0,25,Uncapped,4.79,0,,,
Player_196,International,USA,Spin Bowler,,,,,,,,,,60,6,,5.65,7.09,23.15,1448,55,80,411,2,35,Capped,0.83,0,,,
Player_197,Domestic,India,Pace Bowler,,,,,,,,,,27,3,,15.24,9.04,23.69,632,31,49,164,1,27,Uncapped,3.1,0,,,
Player_198,International,India,Pace Bowler,,,,,,,,,,107,9,,7.06,8.55,25.33,2789,112,264,782,2,31,Capped,14.92,0,,,
Player_199,International,Afghanistan,Pace Bowler,,,,,,,,,,168,20,,6.31,7.98,20.34,3403,113,321,1039,5,30,Capped,1.05,3,,,
Player_200,International,South Africa,Spin Bowler,,,,,,,,,,100,10,,6.05,7.54,23.03,2150,81,139,634,4,32,Capped,0.74,0,,,
Player_201,International,Netherlands,Pace Bowler,,,,,,,,,,29,3,,6.07,9.47,25,772,20,100,332,1,26,Capped,0.47,0,,,
Player_202,International,Bangladesh,Spin Bowler,,,,,,,,,,158,15,,3.5,7.21,25.56,5581,175,293,1705,6,26,Capped,0.92,0,,,
Player_203,International,Afghanistan,Pace Bowler,,,,,,,,,,40,7,,8.08,9.1,17.81,891,30,57,270,1,27,Capped,0,1,,,
Player_204,International,England,Pace Bowler,,,,,,,,,,166,16,,7.23,9.62,20.82,4736,134,383,848,2,31,Capped,0.86,1,,,
Player_205,Domestic,India,Spin Bowler,,,,,,,,,,13,2,,19.36,10.68,34.48,475,31,47,163,0,26,Uncapped,0.21,0,,,
Player_206,International,Bangladesh,Pace Bowler,,,,,,,,,,24,4,,4.92,7.98,21.74,810,40,54,159,1,33,Capped,0.42,0,,,
Player_207,International,Afghanistan,Pace Bowler,,,,,,,,,,545,39,,5.37,7.93,23.12,8134,384,643,2942,9,33,Capped,0,8,,,
Player_208,International,Sri Lanka,Spin Bowler,,,,,,,,,,10,0,,3.88,9.48,43.31,414,24,41,80,0,23,Capped,2.89,0,,,
Player_209,International,Australia,Pace Bowler,,,,,,,,,,159,19,,7.42,8.43,21.55,2956,103,198,903,1,38,Capped,0.79,1,,,
Player_210,International,India,Spin Bowler,,,,,,,,,,195,13,,21.42,8.07,25.1,4443,228,273,2006,6,30,Uncapped,12.47,0,,,
Player_211,International,South Africa,Pace Bowler,,,,,,,,,,193,16,,10.57,8.07,22.83,4181,121,485,1966,17,32,Uncapped,3.97,2,,,
Player_212,International,Australia,Pace Bowler,,,,,,,,,,293,30,,7.23,8.8,20.12,5287,279,544,1390,6,32,Capped,1.47,1,,,
Player_213,International,England,Spin Bowler,,,,,,,,,,189,16,,5.86,7.85,22.36,3518,141,307,1452,4,28,Capped,0,0,,,
Player_214,International,Netherlands,Pace Bowler,,,,,,,,,,26,2,,5.58,9.73,31.86,674,36,89,219,1,31,Capped,0.09,0,,,
Player_215,International,New Zealand,Pace Bowler,,,,,,,,,,22,4,,7.54,9.59,25.06,665,27,60,155,1,34,Capped,0.21,0,,,
Player_216,International,South Africa,Spin Bowler,,,,,,,,,,188,22,,5.01,7.82,23.09,3961,153,319,988,1,33,Capped,0.74,0,,,
Player_217,International,Afghanistan,Pace Bowler,,,,,,,,,,87,7,,10.11,9.06,24.68,2469,107,273,819,3,27,Capped,3.71,1,,,
Player_218,International,Sri Lanka,Spin Bowler,,,,,,,,,,120,8,,6.09,7.08,23.55,2305,112,242,823,4,27,Capped,0,0,,,
Player_219,International,Australia,Pace Bowler,,,,,,,,,,74,4,,4.81,8.51,25.8,2474,105,169,592,1,35,Capped,2.04,0,,,
Player_220,International,Sri Lanka,Pace Bowler,,,,,,,,,,23,2,,5.47,8.62,27.58,955,41,124,356,1,27,Capped,5.49,0,,,
Player_221,International,Netherlands,Spin Bowler,,,,,,,,,,60,6,,4.98,7.61,28.71,1478,94,110,889,2,30,Capped,0,0,,,
Player_222,International,Netherlands,Pace Bowler,,,,,,,,,,10,0,,5.81,9.67,37.43,515,15,31,88,1,27,Capped,0.83,0,,,
Player_223,International,West Indies,Spin Bowler,,,,,,,,,,12,1,,4.63,6.96,23.97,288,7,16,116,0,28,Uncapped,0,0,,,
Player_224,International,Sri Lanka,Pace Bowler,,,,,,,,,,25,2,,6.93,9.14,31.22,968,30,50,187,1,32,Capped,6.32,0,,,
Player_225,International,New Zealand,Pace Bowler,,,,,,,,,,57,1,,3.78,9,31.03,994,75,88,326,1,31,Capped,1.89,0,,,
Player_226,International,South Africa,Pace Bowler,,,,,,,,,,180,14,,3.86,7.67,21.03,3106,178,269,1540,9,35,Capped,0.46,0,,,
Player_227,International,England,Spin Bowler,,,,,,,,,,205,19,,10.4,8.51,22.74,6556,146,283,1153,1,33,Uncapped,1.41,1,,,
Player_228,International,Zimbabwe,Spin Bowler,,,,,,,,,,60,12,,5.1,8.49,21.7,2325,89,100,506,1,36,Capped,0.02,1,,,
Player_229,International,South Africa,Pace Bowler,,,,,,,,,,198,24,,4.86,7.94,19.93,4638,202,395,1579,15,34,Capped,0.45,0,,,
Player_230,International,Australia,Pace Bowler,,,,,,,,,,176,14,,4.76,8.16,20.62,3232,117,172,1206,4,34,Capped,0.13,1,,,
Player_231,International,Afghanistan,Spin Bowler,,,,,,,,,,194,14,,8.76,7.89,23.61,4945,260,404,1649,4,34,Capped,2.75,2,,,
Player_232,International,England,Pace Bowler,,,,,,,,,,100,7,,4.27,8.77,25.87,1648,104,191,437,1,36,Capped,1.76,0,,,
Player_233,International,Bangladesh,Spin Bowler,,,,,,,,,,124,10,,4.6,8.19,25.32,3265,158,226,999,1,32,Capped,4.62,0,,,
Player_234,International,Australia,Pace Bowler,,,,,,,,,,93,17,,6.89,9.36,22.09,3139,69,115,473,1,37,Capped,1.9,0,,,
Player_235,International,USA,Pace Bowler,,,,,,,,,,38,4,,5.21,7.82,25.61,984,39,69,406,2,33,Capped,0,0,,,
Player_236,International,Sri Lanka,Pace Bowler,,,,,,,,,,7,0,,5.94,10.03,39.91,372,15,45,69,0,27,Capped,0.95,0,,,
Player_237,International,India,Spin Bowler,,,,,,,,,,52,5,,14.7,8.59,25.93,1522,95,102,475,2,29,Uncapped,6.94,0,,,
Player_238,International,Netherlands,Pace Bowler,,,,,,,,,,47,4,,10.09,9.31,28.34,1445,59,101,378,3,32,Capped,7.79,0,,,
Player_239,International,Australia,Medium Pace Bowler,,,,,,,,,,359,34,,5.09,7.81,20.63,6871,203,535,2560,10,32,Capped,0.36,5,,,
Player_240,International,Afghanistan,Spin Bowler,,,,,,,,,,183,15,,6.81,7.9,19.28,3558,176,297,1233,4,31,Capped,3.98,0,,,
Player_241,International,New Zealand,Pace Bowler,,,,,,,,,,101,9,,6.18,9.33,24.3,2327,119,227,968,4,33,Capped,3.45,1,,,
Player_242,International,Sri Lanka,Spin Bowler,,,,,,,,,,147,9,,4.07,7.21,26.5,3290,173,303,1414,5,29,Capped,1.2,1,,,
Player_243,International,West Indies,Spin Bowler,,,,,,,,,,175,14,,6.07,7.23,24.21,2767,147,331,1615,10,33,Capped,0.88,0,,,
Player_244,International,Afghanistan,Spin Bowler,,,,,,,,,,48,3,,4.81,7.68,25.07,1200,41,72,264,0,31,Capped,0.87,0,,,
Player_245,International,Australia,Pace Bowler,,,,,,,,,,255,32,,4.23,9.07,20.21,5821,242,470,1774,3,35,Capped,0,1,,,
Player_246,International,Australia,Pace Bowler,,,,,,,,,,60,5,,5.99,8.8,26.48,1300,60,160,307,0,30,Capped,0.07,0,,,
Player_247,International,New Zealand,Pace Bowler,,,,,,,,,,31,4,,7.08,8.42,23.63,768,33,50,280,1,31,Capped,1.29,0,,,
Player_248,International,South Africa,Pace Bowler,,,,,,,,,,117,10,,5.15,8.22,18.94,2120,106,198,1015,3,32,Capped,11.72,1,,,
Player_249,International,Australia,Pace Bowler,,,,,,,,,,26,1,,6.61,9.95,40.66,878,60,75,193,1,27,Capped,4.36,0,,,
Player_250,International,Afghanistan,Pace Bowler,,,,,,,,,,234,15,,6,7.32,19.86,4417,118,328,2158,16,27,Capped,0,2,,,
Player_251,International,Sri Lanka,Spin Bowler,,,,,,,,,,40,7,,6.32,8.19,21.4,957,32,85,268,3,25,Capped,3.43,0,,,
Player_252,International,England,Pace Bowler,,,,,,,,,,47,4,,10.58,9.94,30.02,1041,58,90,154,1,32,Capped,12.92,0,,,
Player_253,International,Bangladesh,Spin Bowler,,,,,,,,,,32,4,,5.09,7.26,26.56,784,49,33,240,1,26,Capped,0.48,0,,,
Player_254,International,India,Pace Bowler,,,,,,,,,,140,13,,6.82,9.14,21.49,4003,208,553,955,4,36,Capped,2.51,0,,,
Player_255,International,Sri Lanka,Spin Bowler,,,,,,,,,,22,1,,3.77,8.67,35.41,501,38,55,143,0,28,Capped,2.28,0,,,
Player_256,International,Afghanistan,Spin Bowler,,,,,,,,,,240,26,,5.15,7.17,21.18,6758,184,368,2353,7,36,Capped,0.07,5,,,
Player_257,International,India,Pace Bowler,,,,,,,,,,104,6,,8.62,8.77,24.31,1840,56,214,512,2,30,Capped,4.68,0,,,
Player_258,International,Australia,Pace Bowler,,,,,,,,,,28,3,,5.67,9.66,27.42,728,31,167,165,0,26,Capped,1.49,0,,,
Player_259,International,New Zealand,Pace Bowler,,,,,,,,,,207,29,,4.63,8.64,22.47,4469,111,396,1440,2,32,Capped,1.29,1,,,
Player_260,International,Netherlands,Spin Bowler,,,,,,,,,,272,23,,5.28,7.58,23.09,4561,226,271,1276,4,44,Capped,0,3,,,
Player_261,International,Sri Lanka,Pace Bowler,,,,,,,,,,70,6,,5.37,9.06,26,1771,71,115,312,0,28,Capped,0.07,0,,,
Player_262,International,England,Spin Bowler,,,,,,,,,,86,10,,4.56,7.1,25.64,2263,74,195,862,5,34,Capped,1.38,1,,,
Player_263,International,Australia,Spin Bowler,,,,,,,,,,83,14,,4.98,8.47,23.97,2507,94,170,761,4,29,Capped,0.36,0,,,
Player_264,International,South Africa,Pace Bowler,,,,,,,,,,43,2,,10.36,9.43,36.69,1827,82,109,344,1,28,Capped,6.39,0,,,
Player_265,International,Afghanistan,Spin Bowler,,,,,,,,,,189,10,,7.48,7.65,24.17,3185,117,383,1270,6,27,Capped,0.97,2,,,
Player_266,Domestic,India,Pace Bowler,,,,,,,,,,142,10,,13.19,8.8,21.96,3030,122,194,604,2,32,Uncapped,5.78,1,,,
Player_267,International,India,Spin Bowler,,,,,,,,,,78,6,,8.55,8.54,28.03,2097,116,139,884,6,34,Capped,7.71,0,,,
Player_268,International,Sri Lanka,Spin Bowler,,,,,,,,,,61,7,,5.98,8.51,27.24,1481,114,108,412,1,25,Capped,1.09,0,,,
Player_269,International,Australia,Spin Bowler,,,,,,,,,,120,16,,4.97,7.28,20,2678,120,233,1502,7,27,Capped,0.33,0,,,
Player_270,International,Afghanistan,Spin Bowler,,,,,,,,,,25,2,,3.74,7.44,26.18,633,41,59,249,0,25,Capped,1.8,0,,,
Player_271,International,South Africa,Pace Bowler,,,,,,,,,,165,14,,10.02,8.54,21.59,3769,122,275,1377,2,34,Capped,6.1,1,,,
Player_272,International,India,Pace Bowler,,,,,,,,,,123,14,,18.51,8.76,24.06,3438,145,393,962,2,34,Capped,54.22,0,,,
Player_273,International,Sri Lanka,Spin Bowler,,,,,,,,,,125,11,,5.13,7.1,21.99,2253,71,204,876,4,35,Capped,4.54,1,,,
Player_274,International,Netherlands,Pace Bowler,,,,,,,,,,29,1,,5.59,8.78,34.65,1013,44,108,279,1,29,Capped,2.54,0,,,
Player_275,International,West Indies,Pace Bowler,,,,,,,,,,186,16,,4.25,7.62,23.09,3741,184,421,1443,10,37,Capped,0.05,1,,,
Player_276,International,Afghanistan,Spin Bowler,,,,,,,,,,146,14,,3.28,7.79,25.62,3943,139,227,1287,7,35,Uncapped,0.37,1,,,
Player_277,International,Afghanistan,Pace Bowler,,,,,,,,,,284,23,,5.34,8.2,21.53,6047,160,573,1671,6,32,Capped,1.15,7,,,
Player_278,International,Netherlands,Spin Bowler,,,,,,,,,,194,14,,3.39,7.4,23.4,2878,193,250,1238,5,36,Capped,0,1,,,
Player_279,International,New Zealand,Pace Bowler,,,,,,,,,,151,10,,6.27,8.11,23.58,3196,114,289,997,3,41,Capped,3.33,1,,,
Player_280,International,South Africa,Pace Bowler,,,,,,,,,,47,6,,5.5,8.87,27.34,1505,49,158,298,1,28,Capped,2.17,0,,,
Player_281,International,Australia,Pace Bowler,,,,,,,,,,399,42,,6.39,8.08,19.24,7845,212,815,3044,17,33,Capped,2.69,6,,,
Player_282,International,India,Spin Bowler,,,,,,,,,,236,16,,11.67,7.75,21.22,3536,197,353,1776,4,38,Capped,19.14,1,,,
Player_283,International,India,Pace Bowler,,,,,,,,,,21,2,,28.86,11.65,50.53,988,46,115,248,1,30,Capped,3.96,0,,,
Player_284,International,West Indies,Spin Bowler,,,,,,,,,,168,15,,3.47,7.56,25.21,3431,180,275,1148,5,37,Capped,1.11,0,,,
Player_285,International,India,Pace Bowler,,,,,,,,,,40,4,,9.02,8.56,28.02,1056,38,116,268,1,28,Capped,7.95,0,,,
Player_286,International,Australia,Pace Bowler,,,,,,,,,,9,0,,3.29,8.97,34.76,361,20,37,113,0,22,Capped,1.73,0,,,
Player_287,International,India,Spin Bowler,,,,,,,,,,189,13,,8.92,7.74,22.29,2889,163,216,763,2,31,Capped,4.99,0,,,
Player_288,International,Sri Lanka,Pace Bowler,,,,,,,,,,97,12,,5.64,9.24,24.74,2782,68,162,870,2,34,Capped,0.22,2,,,
Player_289,International,Australia,Spin Bowler,,,,,,,,,,215,22,,4.95,8.2,23.25,3597,209,479,1496,5,34,Capped,0.05,0,,,
Player_290,International,Ireland,Pace Bowler,,,,,,,,,,22,1,,4.23,8.79,29.5,846,20,91,160,3,29,Capped,0,0,,,
Player_291,International,West Indies,Pace Bowler,,,,,,,,,,199,20,,4.33,7.54,21.76,2904,173,367,1243,5,35,Capped,0.71,0,,,
Player_292,International,Afghanistan,Pace Bowler,,,,,,,,,,172,13,,4.62,8.99,25.82,3455,93,243,1069,2,31,Capped,0,2,,,
Player_293,International,Afghanistan,Spin Bowler,,,,,,,,,,88,7,,4.33,8.72,24.6,2362,99,243,567,2,25,Capped,0,0,,,
Player_294,International,England,Pace Bowler,,,,,,,,,,59,4,,4.28,8.65,30.37,1906,77,172,485,2,32,Capped,11.67,0,,,
Player_295,International,India,Pace Bowler,,,,,,,,,,189,15,,5.57,8.91,24.45,4874,167,346,1298,2,33,Capped,30.36,0,,,
Player_296,International,New Zealand,Pace Bowler,,,,,,,,,,20,3,,4.58,9.31,27.19,822,28,61,196,1,25,Capped,10.92,0,,,
Player_297,International,South Africa,Pace Bowler,,,,,,,,,,25,1,,7.84,9.33,30.93,502,29,45,168,1,28,Capped,1.78,0,,,
Player_298,International,India,Spin Bowler,,,,,,,,,,64,7,,11.72,8.4,23.81,2019,35,135,450,1,30,Uncapped,0.92,1,,,
Player_299,International,Sri Lanka,Spin Bowler,,,,,,,,,,22,1,,5.44,8.45,33.25,849,43,56,161,0,29,Capped,0.31,0,,,
Player_300,International,India,Pace Bowler,,,,,,,,,,203,19,,4.51,7.66,21.98,5259,204,438,1688,9,35,Capped,9.04,0,,,
Player_301,International,India,Spin Bowler,,,,,,,,,,60,5,,13.72,7.92,26.45,1825,99,119,628,1,28,Capped,5.05,0,,,
Player_302,International,England,Spin Bowler,,,,,,,,,,195,20,,3.73,7.42,26.69,4343,145,406,1505,4,29,Capped,1.57,0,,,
Player_303,International,India,Pace Bowler,,,,,,,,,,65,11,,13.76,9.41,28.74,1666,65,162,388,2,33,Uncapped,11.71,0,,,
Player_304,International,Australia,Pace Bowler,,,,,,,,,,96,6,,9.13,9.05,24.31,1658,67,127,508,2,37,Uncapped,2.04,1,,,
Player_305,Domestic,India,Pace Bowler,,,,,,,,,,9,2,,28.53,11.47,40.19,396,32,47,123,0,28,Capped,0.3,0,,,
Player_306,International,Netherlands,Pace Bowler,,,,,,,,,,26,2,,3.85,8.35,27.22,983,52,103,387,1,33,Capped,0.54,0,,,
Player_307,International,New Zealand,Pace Bowler,,,,,,,,,,62,5,,4.32,9.03,32.32,1752,87,136,459,1,30,Capped,1.32,0,,,
Player_308,International,South Africa,Pace Bowler,,,,,,,,,,86,12,,6.03,8.72,20.08,1252,113,155,367,1,33,Capped,2.57,0,,,
Player_309,International,New Zealand,Spin Bowler,,,,,,,,,,89,9,,6.6,7.96,23.84,1540,95,181,518,1,33,Capped,0.8,0,,,
Player_310,International,Australia,Pace Bowler,,,,,,,,,,54,10,,5.78,9.47,19.48,939,41,79,385,0,24,Capped,0.49,0,,,
Player_311,International,India,Pace Bowler,,,,,,,,,,208,23,,6.66,8.91,20.7,4444,131,490,1602,3,32,Capped,1.65,2,,,
Player_312,International,Sri Lanka,Pace Bowler,,,,,,,,,,36,2,,11.13,9.55,32.92,924,59,73,260,0,28,Capped,1.65,0,,,
Player_313,International,New Zealand,Pace Bowler,,,,,,,,,,24,3,,5.03,7.86,23.53,876,49,65,275,0,28,Capped,0,0,,,
Player_314,International,West Indies,Spin Bowler,,,,,,,,,,177,8,,6.62,7.55,23.47,3673,121,313,1778,5,34,Capped,4.13,2,,,
Player_315,International,Australia,Spin Bowler,,,,,,,,,,112,8,,3.89,7.39,23.65,4185,131,266,834,4,34,Capped,0.04,0,,,
Player_316,International,England,Pace Bowler,,,,,,,,,,100,5,,5.2,8.69,27.84,2537,149,232,705,2,31,Capped,2.98,0,,,
Player_317,International,Sri Lanka,Spin Bowler,,,,,,,,,,108,8,,4.73,7.75,23.3,3733,152,233,1249,2,32,Capped,1.38,1,,,
Player_318,International,Netherlands,Spin Bowler,,,,,,,,,,36,4,,4.25,7.78,27.99,1131,51,113,339,0,29,Capped,2.94,0,,,
Player_319,International,USA,Pace Bowler,,,,,,,,,,68,7,,5.04,9.09,28.6,2322,97,156,571,1,34,Capped,0,0,,,
Player_320,International,India,Spin Bowler,,,,,,,,,,194,13,,12.81,8.32,21.48,3668,162,335,1127,3,37,Capped,11.38,1,,,
Player_321,International,Afghanistan,Spin Bowler,,,,,,,,,,960,47,,4.9,8,21.29,14869,379,466,3269,9,38,Capped,0.29,20,,,
Player_322,International,South Africa,Pace Bowler,,,,,,,,,,90,11,,3.62,7.61,25.14,2390,87,190,831,4,34,Capped,2.34,0,,,
Player_323,International,Sri Lanka,Pace Bowler,,,,,,,,,,42,4,,6.45,8.33,22.73,1086,84,137,385,2,31,Capped,2.51,0,,,
Player_324,International,South Africa,Spin Bowler,,,,,,,,,,132,12,,4.75,8.32,22.82,3617,110,192,888,5,35,Capped,2.51,0,,,
Player_325,International,South Africa,Spin Bowler,,,,,,,,,,258,21,,3.68,7.88,22.42,4726,301,407,1959,8,33,Capped,0,0,,,
Player_326,International,England,Pace Bowler,,,,,,,,,,61,4,,3.3,7.83,25,1452,54,77,342,2,30,Capped,0.47,0,,,
Player_327,International,Sri Lanka,Pace Bowler,,,,,,,,,,37,6,,5.8,9.05,22.89,956,32,93,315,1,27,Capped,0.7,0,,,
Player_328,International,England,Pace Bowler,,,,,,,,,,32,4,,7.55,9.1,18.53,667,31,77,202,2,27,Capped,0.14,0,,,
Player_329,International,Afghanistan,Spin Bowler,,,,,,,,,,432,17,,3.57,6.92,21.81,6656,295,814,3868,28,30,Capped,0,1,,,
Player_330,International,South Africa,Spin Bowler,,,,,,,,,,99,7,,4.58,8.37,29.37,2374,118,167,664,0,41,Capped,0.34,0,,,
Player_331,International,India,Spin Bowler,,,,,,,,,,61,6,,8.5,9.47,27.83,1452,64,220,437,0,27,Capped,1.2,0,,,
Player_332,International,South Africa,Pace Bowler,,,,,,,,,,149,15,,6.6,8.07,20.84,4125,118,420,1140,3,36,Capped,4.03,1,,,
Player_333,International,South Africa,Pace Bowler,,,,,,,,,,68,7,,5.4,8.18,24.21,2110,63,125,569,2,41,Capped,2.63,0,,,
Player_334,International,India,Pace Bowler,,,,,,,,,,43,2,,9.88,9.69,32.21,1707,63,141,293,0,32,Capped,4.26,0,,,
Player_335,International,Australia,Spin Bowler,,,,,,,,,,52,5,,4.47,9.04,25.56,1795,41,98,301,0,35,Capped,0.32,0,,,
Player_336,International,Netherlands,Pace Bowler,,,,,,,,,,103,8,,3.71,8.67,28.48,2336,82,251,822,2,34,Capped,0.81,0,,,
Player_337,International,South Africa,Pace Bowler,,,,,,,,,,122,11,,7.7,9.2,22.15,2674,119,237,619,2,33,Capped,7.01,1,,,
Player_338,International,West Indies,Spin Bowler,,,,,,,,,,197,19,,4.46,7.7,21.24,3556,94,341,1142,5,33,Capped,0.07,2,,,
Player_339,Domestic,India,Spin Bowler,,,,,,,,,,176,8,,21.6,8.29,28.43,4436,136,377,1388,5,34,Capped,8.22,0,,,
Player_340,International,Australia,Pace Bowler,,,,,,,,,,148,15,,6.05,8.36,18.13,2948,124,265,1239,3,32,Capped,1.02,4,,,
Player_341,International,Australia,Spin Bowler,,,,,,,,,,170,20,,5.46,8.07,17.78,3852,218,254,963,4,37,Capped,0.86,1,,,
Player_342,International,Netherlands,Spin Bowler,,,,,,,,,,163,9,,8.45,8.13,26.29,4733,152,372,1109,4,34,Uncapped,2.97,0,,,
Player_343,International,Ireland,Pace Bowler,,,,,,,,,,3,0,,7.02,9.85,31.42,144,4,9,22,0,26,Capped,0,0,,,
Player_344,International,India,Spin Bowler,,,,,,,,,,181,11,,11.82,7.93,24.18,3313,164,365,675,2,32,Capped,19.82,0,,,
Player_345,International,West Indies,Spin Bowler,,,,,,,,,,103,10,,8.03,7.72,22.44,2390,137,165,752,4,29,Capped,2.06,0,,,
Player_346,International,England,Medium Pace Bowler,,,,,,,,,,79,8,,7,9.02,28.57,1823,64,188,539,2,32,Capped,4.93,2,,,
Player_347,International,England,Spin Bowler,,,,,,,,,,131,13,,8.03,8.52,19.41,2130,101,210,542,2,35,Capped,3.33,0,,,
Player_348,International,England,Spin Bowler,,,,,,,,,,221,21,,5.08,7.27,19.76,3942,157,385,1515,8,30,Capped,0.12,2,,,
Player_349,International,New Zealand,Pace Bowler,,,,,,,,,,33,5,,6.04,9.09,16.73,530,41,47,222,1,32,Capped,0.03,0,,,
Player_350,International,Zimbabwe,Spin Bowler,,,,,,,,,,189,19,,5.04,8.33,22.31,4870,195,331,1879,9,35,Capped,1.32,1,,,
Player_351,International,South Africa,Pace Bowler,,,,,,,,,,67,8,,6.63,8.19,24.17,2052,99,135,762,4,31,Capped,4.11,0,,,
Player_352,Domestic,India,Pace Bowler,,,,,,,,,,89,10,,13.73,9.67,23.85,2228,100,182,547,1,32,Uncapped,26.82,0,,,
Player_353,International,Australia,Pace Bowler,,,,,,,,,,81,6,,3.41,8.56,27.11,1926,61,168,680,2,34,Capped,0.22,0,,,
Player_354,International,South Africa,Spin Bowler,,,,,,,,,,430,20,,3.51,7.89,24.04,7485,361,524,2374,7,37,Capped,3.57,1,,,
Player_355,International,Afghanistan,Pace Bowler,,,,,,,,,,423,24,,7.59,8.41,21.23,7707,325,615,2928,9,37,Capped,1.52,15,,,
Player_356,International,South Africa,Spin Bowler,,,,,,,,,,504,36,,4.8,7.85,21.91,7043,373,431,2621,7,38,Capped,2.44,1,,,
Player_357,International,England,Spin Bowler,,,,,,,,,,198,18,,6.04,8.06,21.97,3575,191,227,1298,3,30,Capped,0,0,,,
Player_358,International,Afghanistan,Pace Bowler,,,,,,,,,,102,12,,6.24,8.37,21.3,1910,96,176,601,0,43,Capped,1.48,0,,,
Player_359,International,Ireland,Spin Bowler,,,,,,,,,,5,1,,9.14,7.72,19.17,67,1,1,17,0,26,Capped,0,0,,,
Player_360,International,Sri Lanka,Pace Bowler,,,,,,,,,,31,1,,3.96,8.83,26.95,944,43,121,299,0,25,Capped,3.71,0,,,
Player_361,International,Zimbabwe,Pace Bowler,,,,,,,,,,23,1,,6.33,9.85,37.36,637,34,69,163,0,32,Capped,1.22,0,,,
